participant_id,session_id,window_start_ms,window_end_ms,label,quality_state,ambient_light,environment,motion_condition
F-000000,FIXTURE-0000,0,10000,0,usable,0.19676383961133953,quiet_indoor,seated
F-000000,FIXTURE-0000,10000,20000,0,usable,0.2111247643986916,quiet_indoor,seated
F-000000,FIXTURE-0000,20000,30000,0,usable,0.1428202455134639,quiet_indoor,seated
F-000000,FIXTURE-0000,30000,40000,1,usable,0.17008225939453217,quiet_indoor,walking
F-000000,FIXTURE-0000,40000,50000,1,usable,0.23157787252184886,quiet_indoor,seated
F-000000,FIXTURE-0000,50000,60000,1,usable,0.16991392322802523,quiet_indoor,seated
F-000000,FIXTURE-0000,60000,70000,0,usable,0.19747966626501148,quiet_indoor,seated
F-000000,FIXTURE-0000,70000,80000,0,usable,0.20913631435392155,quiet_indoor,walking
F-000000,FIXTURE-0000,80000,90000,0,usable,0.22385316462042965,quiet_indoor,seated
F-000000,FIXTURE-0000,90000,100000,1,usable,0.1609499232441289,quiet_indoor,seated
F-000000,FIXTURE-0000,100000,110000,1,usable,0.195963282968237,quiet_indoor,seated
F-000000,FIXTURE-0000,110000,120000,1,usable,0.2183264779210436,quiet_indoor,walking
F-000001,FIXTURE-0001,0,10000,1,usable,0.48199998366109204,conversation_noise,seated
F-000001,FIXTURE-0001,10000,20000,1,usable,0.5380241486702736,conversation_noise,seated
F-000001,FIXTURE-0001,20000,30000,1,usable,0.5338899125234419,conversation_noise,seated
F-000001,FIXTURE-0001,30000,40000,0,usable,0.5854763176189722,conversation_noise,walking
F-000001,FIXTURE-0001,40000,50000,0,usable,0.5554066823529743,conversation_noise,seated
F-000001,FIXTURE-0001,50000,60000,0,usable,0.5649893474450238,conversation_noise,seated
F-000001,FIXTURE-0001,60000,70000,1,usable,0.6116869361514037,conversation_noise,seated
F-000001,FIXTURE-0001,70000,80000,1,usable,0.5640986855157716,conversation_noise,walking
F-000001,FIXTURE-0001,80000,90000,1,usable,0.5005649815295592,conversation_noise,seated
F-000001,FIXTURE-0001,90000,100000,0,usable,0.556568045114025,conversation_noise,seated
F-000001,FIXTURE-0001,100000,110000,0,usable,0.5402490109073301,conversation_noise,seated
F-000001,FIXTURE-0001,110000,120000,0,usable,0.586687162516415,conversation_noise,walking
F-000002,FIXTURE-0002,0,10000,0,usable,0.8694705917484388,outdoor,seated
F-000002,FIXTURE-0002,10000,20000,0,usable,0.8451185416277681,outdoor,seated
F-000002,FIXTURE-0002,20000,30000,0,usable,0.8519630130780842,outdoor,seated
