name,modality,accuracy,precision,recall,f1,false_positive_rate,actual_stress,predicted_stress,confusion_matrix
rule_baseline,eda,0.7581967213114754,0.9933333333333333,0.3363431151241535,0.5025295109612141,0.001287001287001287,1329,450,"[[2328, 3], [882, 447]]"
logistic_regression,eda,0.9172131147540984,0.8267515923566879,0.9766741911211437,0.8954812004139359,0.11668811668811668,1329,1570,"[[2059, 272], [31, 1298]]"
random_forest,eda,0.855191256830601,0.8495188101487314,0.7306245297215952,0.7855987055016181,0.07378807378807378,1329,1143,"[[2159, 172], [358, 971]]"
xgboost,eda,0.9316939890710383,0.8707903780068729,0.9533483822422875,0.9102011494252874,0.08065208065208065,1329,1455,"[[2143, 188], [62, 1267]]"
lightgbm,eda,0.9240437158469945,0.8713780918727915,0.927765237020316,0.8986880466472303,0.07807807807807808,1329,1415,"[[2149, 182], [96, 1233]]"
rule_baseline,bvp,0.6814207650273224,0.8826291079812206,0.14145974416854779,0.2438391699092088,0.010725010725010725,1329,213,"[[2306, 25], [1141, 188]]"
logistic_regression,bvp,0.7109289617486338,0.5703165542293721,0.8269375470278405,0.6750614250614251,0.3552123552123552,1329,1927,"[[1503, 828], [230, 1099]]"
random_forest,bvp,0.6975409836065574,0.5668674698795181,0.708051166290444,0.6296420207427234,0.30845130845130847,1329,1660,"[[1612, 719], [388, 941]]"
xgboost,bvp,0.687431693989071,0.6244952893674294,0.3491346877351392,0.44787644787644787,0.11969111969111969,1329,743,"[[2052, 279], [865, 464]]"
lightgbm,bvp,0.6896174863387978,0.5572021339656195,0.7072987208427389,0.623342175066313,0.3204633204633205,1329,1687,"[[1584, 747], [389, 940]]"
rule_baseline,motion,0.6887978142076503,0.7932098765432098,0.19337848006019565,0.31094978826376285,0.028743028743028743,1329,324,"[[2264, 67], [1072, 257]]"
logistic_regression,motion,0.6923497267759563,0.608324439701174,0.4288939051918736,0.5030891438658429,0.15744315744315746,1329,937,"[[1964, 367], [759, 570]]"
random_forest,motion,0.6174863387978142,0.46899563318777293,0.4040632054176072,0.43411479385610346,0.26083226083226085,1329,1145,"[[1723, 608], [792, 537]]"
xgboost,motion,0.657103825136612,0.5486842105263158,0.31376975169300225,0.39923408329344184,0.14714714714714713,1329,760,"[[1988, 343], [912, 417]]"
lightgbm,motion,0.6240437158469946,0.4827838827838828,0.4958615500376223,0.4892353377876763,0.3028743028743029,1329,1365,"[[1625, 706], [670, 659]]"
rule_baseline,temp,0.6346994535519126,0.0,0.0,0.0,0.003432003432003432,1329,8,"[[2323, 8], [1329, 0]]"
logistic_regression,temp,0.8527322404371585,0.823240589198036,0.7569601203912716,0.7887103096824775,0.09266409266409266,1329,1222,"[[2115, 216], [323, 1006]]"
random_forest,temp,0.83224043715847,0.8481012658227848,0.6553799849510911,0.7393887945670629,0.06692406692406692,1329,1027,"[[2175, 156], [458, 871]]"
xgboost,temp,0.7950819672131147,0.8241881298992161,0.5537998495109104,0.6624662466246625,0.06735306735306736,1329,893,"[[2174, 157], [593, 736]]"
lightgbm,temp,0.8275956284153005,0.8349328214971209,0.654627539503386,0.7338675664276677,0.07378807378807378,1329,1042,"[[2159, 172], [459, 870]]"
rule_baseline,multimodal,0.7265027322404372,0.996969696969697,0.24755455229495862,0.39662447257383965,0.000429000429000429,1329,330,"[[2330, 1], [1000, 329]]"
logistic_regression,multimodal,0.9153005464480874,0.8135384615384615,0.9947328818660647,0.8950575490859851,0.12998712998713,1329,1625,"[[2028, 303], [7, 1322]]"
random_forest,multimodal,0.8691256830601093,0.8651202749140894,0.7577125658389767,0.8078620136381869,0.06735306735306736,1329,1164,"[[2174, 157], [322, 1007]]"
xgboost,multimodal,0.8639344262295082,0.8773841961852861,0.7268623024830699,0.7950617283950617,0.05791505791505792,1329,1101,"[[2196, 135], [363, 966]]"
lightgbm,multimodal,0.8486338797814208,0.862488306828812,0.6937547027840482,0.7689741451209341,0.06306306306306306,1329,1069,"[[2184, 147], [407, 922]]"
